
"RTB Lookup rate (ops/sec) - sc_acc_hmc5c3.txt"

"Distribution: Zipf=0.99"
"Load Factor / Hit Rate", hit 90%
0.10, 71870946.731276
0.20, 62237284.50948
0.30, 51333569.949007
0.40, 40785503.30267
0.50, 35629090.038607
0.60, 28712781.337589
0.70, 22306957.679519
0.80, 16335552.67131
0.90, 7528306.874962
