
"RTB Lookup rate (ops/sec) - sc_acc_fixed1.txt"

"Distribution: Zipf=0.99"
"Load Factor / Hit Rate", hit 90%
0.10, 67565516.77723
0.20, 62355908.526805
0.30, 52935599.500834
0.40, 41757467.409602
0.50, 36412695.229297
0.60, 29331762.861863
0.70, 22612064.419652
0.80, 16540416.766814
0.90, 7530870.317089
