
"RTB Lookup rate (ops/sec) - lin_stl.txt"

"Distribution: Uniform"
"Load Factor / Hit Rate %", 82.00, 90.00, 98.00
0.20, 16167166.9251627, 16716276.0762687, 16075594.624073
0.60, 12791282.478054, 13688321.961313, 13723423.6475507
0.90, 10903472.486707, 11284078.171071, 11851797.2180647

"Distribution: Zipf=.99"
"Load Factor / Hit Rate %", 82.00, 90.00, 98.00
0.20, 19905782.6776583, 19805300.9610493, 20141390.7649137
0.60, 14770463.1017463, 15418571.7314327, 16421445.188044
0.90, 12566491.1322107, 13360872.2197397, 14129871.7477373
