
"RTB Lookup rate (ops/sec) - arm_32_sft1_z00h90.txt"

"Memory Latency: 085,106 Distribution: Uniform"
"Load Factor / Hit Rate", hit 90%
0.10, 5024375.933417
0.20, 4988689.700620
0.30, 4938220.733763
0.40, 4859935.048408
0.50, 4739942.634962
0.60, 4551916.893555
0.70, 4246281.099039
0.80, 3695651.660821
0.90, 2602816.433648

"Memory Latency: 200,400 Distribution: Uniform"
"Load Factor / Hit Rate", hit 90%
0.10, 3179677.530365
0.20, 3162578.245138
0.30, 3136259.665032
0.40, 3091676.008009
0.50, 3015898.954859
0.60, 2886420.052945
0.70, 2661187.203348
0.80, 2247653.227955
0.90, 1485806.066378
