
"RTB Lookup rate (ops/sec) - acc_r_w8Ki_z99_h90_nosp.log"

"Memory Latency: 085,106 Distribution: Zipf=0.99"
"Load Factor / Hit Rate", hit 90%
0.10, 63369747.180161
0.20, 58253303.212348
0.30, 49266553.192767
0.40, 42566618.377192
0.50, 35370205.570000
0.60, 31784968.385272
0.70, 23438443.217735
0.80, 15764125.035324
0.90, 9106892.244527
