
"RTB Lookup rate (ops/sec) - acc_c_w8Ki_z99_h90.txt"

"Memory Latency: 085,106 Distribution: Zipf=0.99"
"Load Factor / Hit Rate", hit 90%
0.10, 68286013.642354
0.20, 63670922.345420
0.30, 53765863.266022
0.40, 42804890.336601
0.50, 37637833.462779
0.60, 30358655.771994
0.70, 23511410.889898
0.80, 17094916.625778
0.90, 7859265.674754
