
"RTB Lookup rate (ops/sec) - arm_32_acc1_h50.txt"

"Memory Latency: 085,106 Distribution: Uniform"
"Load Factor / Hit Rate", hit 50%
0.10, 64303220.546354
0.20, 59233732.633501
0.30, 50054165.920891
0.40, 43143888.397872
0.50, 35762286.086236
0.60, 32104261.476068
0.70, 23613263.864166
0.80, 15836857.165126
0.90, 9130853.959571

"Memory Latency: 085,106 Distribution: Zipf=0.99"
"Load Factor / Hit Rate", hit 50%
0.10, 64466187.012573
0.20, 59249552.362246
0.30, 50052821.646543
0.40, 43153089.509887
0.50, 35762434.787796
0.60, 32104332.766426
0.70, 23613572.404656
0.80, 15837655.293591
0.90, 9130861.890721

"Memory Latency: 200,400 Distribution: Uniform"
"Load Factor / Hit Rate", hit 50%
0.10, 30099578.251631
0.20, 28860222.496907
0.30, 26603965.063335
0.40, 24674048.478957
0.50, 22227855.029571
0.60, 20821481.763462
0.70, 17173742.342511
0.80, 12867392.631671

"Memory Latency: 200,400 Distribution: Zipf=0.99"
"Load Factor / Hit Rate", hit 50%
0.10, 30493665.477919
0.20, 29292124.321270
0.30, 26595792.349517
0.40, 24546328.548209
0.50, 22373869.624079
0.60, 20793453.741375
0.70, 17240091.950435
0.80, 12854770.491031
