
"RTB Lookup rate (ops/sec) - stand_acc.txt"

"Memory Latency: 085,106 Distribution: Uniform"
"Load Factor / Hit Rate %", 82.00, 90.00, 98.00
0.20, 59277653.071193, 59265643.679783, 59272860.327136
0.60, 32115922.804691, 32117639.312240, 32114061.421953
0.90, 9133522.950761, 9134583.304946, 9135172.096366

"Memory Latency: 085,106 Distribution: Zipf=0.99"
"Load Factor / Hit Rate %", 82.00, 90.00, 98.00
0.20, 59292062.683295, 59296837.016789, 59301216.610073
0.60, 32115254.728503, 32116929.753025, 32122024.469681
0.90, 9133871.713011, 9134561.689286, 9135245.463667

"Memory Latency: 200,400 Distribution: Uniform"
"Load Factor / Hit Rate %", 82.00, 90.00, 98.00
0.20, 28870729.014093, 28871482.769948, 28867846.973882
0.60, 20824767.265382, 20825473.202865, 20825080.178449
0.90, 8238076.881811, 8238533.421775, 8238410.739387

"Memory Latency: 200,400 Distribution: Zipf=0.99"
"Load Factor / Hit Rate %", 82.00, 90.00, 98.00
0.20, 29061955.219856, 29081641.575281, 29101730.745411
0.60, 20845356.441151, 20844827.905841, 20849353.332152
0.90, 8238890.565061, 8239468.067493, 8239837.674272
