
"RTB Lookup rate (ops/sec) - stand_sft.txt"

"Memory Latency: 085,106 Distribution: Uniform"
"Load Factor / Hit Rate %", 82.00, 90.00, 98.00
0.20, 4977799.534371, 4986917.174885, 4997597.669634
0.60, 4461211.814655, 4546096.383206, 4641715.070074
0.90, 2289781.717563, 2600789.006827, 3010998.290712

"Memory Latency: 085,106 Distribution: Zipf=0.99"
"Load Factor / Hit Rate %", 82.00, 90.00, 98.00
0.20, 5912263.564828, 6069138.999047, 6239449.187476
0.60, 5174471.754049, 5403800.160885, 5664877.149396
0.90, 2546544.970433, 3006640.052952, 3678437.501528

"Memory Latency: 200,400 Distribution: Uniform"
"Load Factor / Hit Rate %", 82.00, 90.00, 98.00
0.20, 3156264.470339, 3161750.086926, 3167500.567665
0.60, 2818602.099776, 2885483.776579, 2956144.084326
0.90, 1284584.416568, 1486048.063421, 1762096.297273

"Memory Latency: 200,400 Distribution: Zipf=0.99"
"Load Factor / Hit Rate %", 82.00, 90.00, 98.00
0.20, 4038047.717972, 4191906.288497, 4361349.451981
0.60, 3474001.595503, 3688400.412008, 3939555.519228
0.90, 1469278.231637, 1790746.271188, 2304296.523155
