
"RTB Lookup rate (ops/sec) - acc_c_w8Ki_z99_h90_nosp_trans.txt"

"Memory Latency: 085,106 Distribution: Zipf=0.99"
"Load Factor / Hit Rate", hit 90%
0.10, 54365025.530479
0.20, 52192859.877919
0.30, 47702727.025055
0.40, 41043614.526687
0.50, 36905111.901442
0.60, 29953733.252824
0.70, 23268841.539266
0.80, 16975505.661511
0.90, 7834554.458970
