Latency,cm-2-1,cm-1-1,cm-1-2,cm-1-4,cm-1-8,cm-1-16,cm-1-32
45,0.00021,0.000467,0.00115,0.003093,0.007778,0.017748,0.043791
70,0.000246,0.000535,0.001343,0.00367,0.00939,0.021267,0.054118
100,0.000284,0.000621,0.001541,0.004474,0.011334,0.025755,0.066707
200,0.000448,0.000954,0.002248,0.006915,0.017877,0.040422,0.109243
400,0.000835,0.001721,0.004026,0.011585,0.030973,0.070019,0.195072
800,0.001576,0.003267,0.007571,0.021912,0.057288,0.129042,0.362786
2000,0.003925,0.008128,0.017863,0.052649,0.136347,0.306454,0.868259
4000,0.007865,0.015778,0.036035,0.100844,0.267856,0.603867,1.715202
8000,0.015087,0.031493,0.070006,0.197639,0.527458,1.188741,3.409141
