CONFIG:STOCK

IMAGE
Latency, R:W 1:1, R:W 1:2, R:W 1:4, R:W 1:8
45, 0.014088, , , 
70, 0.018572, , , 
100, 0.024293, , , 
200, 0.047401, , , 
400, 0.096882, , , 
800, 0.207479, , , 

RANDA
Latency, R:W 1:1, R:W 1:2, R:W 1:4, R:W 1:8
45, 0.502895, , , 
70, 0.687788, , , 
100, 0.896598, , , 
200, 1.727113, , , 
400, 3.376811, , , 
800, 6.828698, , , 

SPMV
Latency, R:W 1:1, R:W 1:2, R:W 1:4, R:W 1:8
45, 4.937074, , , 
70, 6.836742, , , 
100, 9.121411, , , 
200, 16.887486, , , 
400, 32.828168, , , 
800, 65.257226, , , 

STRM
Latency, R:W 1:1, R:W 1:2, R:W 1:4, R:W 1:8
45, 0.084642, , , 
70, 0.102755, , , 
100, 0.126315, , , 
200, 0.245203, , , 
400, 0.479026, , , 
800, 0.966539, , , 
