CONFIG:, STOCK, R:W 1:1

IMAGE
Latency, Threads 1, Threads 2, Threads 3, Threads 4
45,0.958737,0.477818,0.323791,0.247253
70,1.033504,0.523236,0.344888,0.284209
100,1.16986,0.580678,0.407044,0.356797
200,1.545321,0.803324,0.700392,0.683309
400,2.301197,1.45289,1.364255,1.350912
800,4.524364,2.890473,2.713009,2.694671

RANDA
Latency, Threads 1, Threads 2, Threads 3, Threads 4
45,2.360634,1.143179,0.767539,0.579795
70,3.246136,1.573111,1.054758,0.795055
100,4.336743,2.088323,1.399657,1.058461
200,7.625284,3.818546,2.562311,1.947096
400,14.574225,7.319706,4.920334,3.781869
800,28.697263,14.369462,9.680634,7.539465

STRM
Latency, Threads 1, Threads 2, Threads 3, Threads 4
45,0.530745,0.265768,0.202184,0.196343
70,0.661387,0.330669,0.29828,0.296668
100,0.828477,0.440158,0.40605,0.405646
200,1.446778,0.832576,0.78818,0.790016
400,2.781283,1.636015,1.565683,1.569725
800,5.511107,3.285584,3.152197,3.167949

PAGER
Latency, Threads 1, Threads 2, Threads 3, Threads 4
45,4.14825,1.85836,1.25407,0.955058
70,5.66383,2.47191,1.66595,1.2653
100,7.50052,3.21904,2.16816,1.63996
200,13.9316,5.72715,3.8388,2.89661
400,21.8136,10.8185,7.21833,5.43727
800,42.7726,21.0729,14.0854,10.6742

RTB
Latency, Threads 1, Threads 2, Threads 3, Threads 4
45,0.228227,0.110987,0.074312,0.056141
70,0.325988,0.149383,0.100109,0.075335
100,0.43235,0.196395,0.130978,0.098411
200,0.708798,0.353622,0.234171,0.175682
400,1.344724,0.669422,0.443784,0.334738
800,2.642301,1.304961,0.866631,0.660345

XSB
Latency, Threads 1, Threads 2, Threads 3, Threads 4
45,47.464,22.323,14.95,11.276
70,62.317,28.875,19.309,14.543
100,80.831,36.797,24.571,18.492
200,146.45,63.224,42.134,31.699
400,233.634,116.392,77.389,58.302
800,449.056,222.517,148.479,112.321
