
"RTB Lookup rate (ops/sec) - results/sc_acc_fixed5c.txt"

"Distribution: Zipf=0.99"
"Load Factor / Hit Rate", hit 90%
0.10, 65102014.347874
0.20, 59294740.023834
0.30, 50235330.93996
0.40, 40374632.429189
0.50, 35491645.945877
0.60, 29020781.033106
0.70, 22465175.686888
0.80, 16301667.450441
0.90, 7442338.592101
