
"RTB Lookup rate (ops/sec) - x86_32_stl1.txt"

"Distribution: Uniform"
"Load Factor / Hit Rate", hit 10%, hit 100%, hit 20%, hit 30%, hit 40%, hit 50%, hit 60%, hit 70%, hit 80%, hit 90%
0.10, 20694506.9153067, 13480947.2826627, 18807170.3357173, 16580047.8632477, 16258244.2305223, 14744109.5776477, 13904614.3533697, 14384271.820795, 13539408.7455197, 13909668.6325253
0.20, 16135917.2353603, 11985356.485969, 14483669.179935, 12766975.760971, 12873646.2058373, 12585404.1592393, 12404682.7610863, 12223813.1760417, 12462575.1558413, 12779174.1896577
0.30, 13472192.3352633, 11124032.6787193, 12401201.085019, 11599142.8387673, 11247142.2807423, 11288280.899212, 11138354.5091067, 9984584.119912, 10684425.5047777, 11256462.9136893
0.40, 11496998.4491177, 10410354.1621667, 10403669.255249, 9869861.34410333, 9361692.488513, 10058217.7801887, 9792447.095303, 10027487.9470823, 10194906.7814443, 10807264.3150497
0.50, 10107734.8259473, 10360091.3308507, 8865405.11422, 8708737.55109433, 8338641.67952367, 8671378.36296433, 9321442.784066, 9155835.16164467, 9357805.87065233, 9831397.80529367
0.60, 8714520.00081567, 9132904.24734167, 8118871.92504167, 7485516.03708167, 7840352.878981, 8024831.924305, 8035841.05291933, 8286821.320119, 8620648.996733, 9321442.784066
0.70, 7816080.130445, 9151451.63242567, 7156401.842242, 7069835.83806167, 6672318.02954633, 7231558.62069, 7603935.49545267, 7792327.13463567, 8092072.69106267, 8405745.41014233
0.80, 6854591.550423, 8559804.081633, 6554666.92714667, 6279075.02237767, 6165329.50465133, 6345549.206349, 6971572.729588, 6923859.88700533, 7538107.81164667, 8225722.40776667
0.90, 6168983.59693433, 8170950.25453767, 5951937.06765667, 5643294.656408, 5631460.40849133, 5602604.12156467, 6049755.25189767, 6626470.13628833, 7030324.711658, 7696402.514853

"Distribution: Zipf=0.99"
"Load Factor / Hit Rate", hit 10%, hit 100%, hit 20%, hit 30%, hit 40%, hit 50%, hit 60%, hit 70%, hit 80%, hit 90%
0.10, 24503987.3327873, 17620474.1584953, 22414005.5026453, 21330007.5213673, 17688265.9254487, 18158700.329533, 15861478.4690027, 17048419.6031213, 16795140.3760683, 17005477.4421767
0.20, 18098740.6645597, 15744908.261702, 17153857.109406, 15635713.0245857, 15359625.8879203, 14638164.3147417, 15073628.4104203, 13963328.5009807, 14737561.6738817, 14895242.2753857
0.30, 15180898.016995, 13759335.155823, 13833269.652562, 13321858.858561, 11680321.7125447, 12583544.3389113, 13178684.1188443, 13769460.312752, 13115741.6748127, 13680346.3799283
0.40, 13417713.3915123, 12873646.2058373, 11661159.075341, 11308225.273309, 11235192.696697, 11387719.1163767, 11510333.9201903, 11631918.084621, 11862677.979798, 12358901.8871453
0.50, 11393243.4617743, 12583909.2456573, 10549291.1553377, 9531174.005602, 10110671.1291937, 10541319.3447337, 10486852.4373603, 11041415.65812, 10705374.7900983, 11800258.742493
0.60, 10193290.3192657, 11816503.6679333, 9762216.34395733, 9321529.03242433, 9144117.16091633, 9724014.73309233, 9875427.755285, 10233016.8136393, 10292833.736277, 11186136.5095623
0.70, 9610568.10157033, 10959024.532088, 8997883.088245, 8503332.96622567, 8520417.00818533, 8956036.909937, 8870467.396735, 9154325.72294567, 10028466.1465237, 10198753.840559
0.80, 8544738.74943767, 10666182.414379, 8335409.67526367, 7964510.49830633, 7704936.058665, 7695763.594296, 8504468.68047233, 8768793.45029233, 9184851.09093833, 9725354.746343
0.90, 7549592.74510333, 10191021.038112, 7534812.526813, 7317241.80006, 7280750.97010067, 7110351.705955, 7915203.450755, 7968739.828207, 8484050.68287933, 9131375.76242767
