
"RTB Lookup rate (ops/sec) - sc_acc_fixed2c.txt"

"Distribution: Zipf=0.99"
"Load Factor / Hit Rate", hit 90%
0.10, 75392460.459452
0.20, 66614363.982446
0.30, 53826575.399783
0.40, 41829791.962144
0.50, 36512148.490344
0.60, 29415093.504952
0.70, 22755575.782734
0.80, 16547927.743732
0.90, 7530886.932558
