
"RTB Lookup rate (ops/sec) - cyg_sft.txt"

"Distribution: Uniform"
"Load Factor / Hit Rate %", 82.00, 90.00, 98.00
0.20, 4252173.783436, 4281324.43349967, 4446447.954528
0.60, 4106298.44018833, 4092062.82921267, 4201394.64094867
0.90, 3496010.25780967, 3647539.17912233, 3724347.53989467

"Distribution: Zipf=.99"
"Load Factor / Hit Rate %", 82.00, 90.00, 98.00
0.20, 5147275.99133867, 5507105.64903367, 5693675.76661133
0.60, 4821988.31424533, 5095839.20289533, 5423712.44462433
0.90, 4153658.43566233, 4384469.63901967, 4712793.22649167
