
"RTB Lookup rate (ops/sec) - sc_acc_hmc5.txt"

"Distribution: Zipf=0.99"
"Load Factor / Hit Rate", hit 90%
0.10, 38779124.10683
0.20, 38713443.394443
0.30, 38640984.499833
0.40, 38450331.483912
0.50, 34672420.121381
0.60, 28388959.79968
0.70, 22219444.791623
0.80, 16254391.384157
0.90, 7524180.24644
