
"RTB Lookup rate (ops/sec) - results/sc_acc_hmc6c.txt"

"Distribution: Zipf=0.99"
"Load Factor / Hit Rate", hit 90%
0.10, 73482134.656012
0.20, 63983364.325275
0.30, 53418580.48469
0.40, 42344915.880832
0.50, 36992936.661156
0.60, 29981530.908499
0.70, 23168070.778456
0.80, 16731435.622534
0.90, 7530178.071063
