
"RTB Lookup rate (ops/sec) - sc_acc_fixed2.txt"

"Distribution: Zipf=0.99"
"Load Factor / Hit Rate", hit 90%
0.10, 67848448.82809
0.20, 62506256.7298
0.30, 52380499.313017
0.40, 41500065.249126
0.50, 36370920.88046
0.60, 29250072.696714
0.70, 22634856.441076
0.80, 16559488.182444
0.90, 7531003.242891
