
"RTB Lookup rate (ops/sec) - x86_32_sft1.txt"

"Distribution: Uniform"
"Load Factor / Hit Rate", hit 10%, hit 100%, hit 20%, hit 30%, hit 40%, hit 50%, hit 60%, hit 70%, hit 80%, hit 90%
0.10, 4877253.91020267, 4830375.45770467, 4821510.86019, 4839666.59027033, 4610911.50102767, 4678703.30747533, 4434946.501775, 4713438.11185133, 4766711.869945, 4678159.54963833
0.20, 4757834.07698433, 4732822.72132933, 4515927.03371033, 4528519.167821, 4462279.38783633, 4583938.797814, 4584573.21034967, 4428236.022084, 4660721.392033, 4632710.92352233
0.30, 4278875.83763267, 4517434.93987933, 4485972.15466867, 4352881.09192767, 4412578.87785133, 4568416.831917, 4550901.40107333, 4559293.96556767, 4567511.354795, 4713097.81560967
0.40, 4331492.83336, 4602283.29020767, 4332103.32769333, 4145258.39107033, 4302381.785743, 4370005.24167533, 4446286.464783, 4441401.995147, 4319102.82575133, 4601100.88751633
0.50, 4052530.68468667, 4427358.08682, 4139405.65199433, 4174338.544156, 4146091.93288067, 4229717.118939, 4109865.06163233, 4361677.590064, 4388777.94433, 4526692.56860967
0.60, 3996750.93266933, 4526256.568827, 4026552.423016, 4061583.08769867, 4024932.18959767, 4132386.06484833, 4112655.73128933, 4243911.40133833, 4160749.10960533, 4317545.603532
0.70, 4001251.612214, 4223465.96746167, 3963141.57799067, 3936126.75899367, 3974723.35525467, 3956949.26098567, 4013933.091008, 4059088.07567833, 4125897.42702433, 4147025.21095
0.80, 3706611.77843133, 4118814.900673, 3700968.76124733, 3718548.84412033, 3779008.02827667, 3762359.305016, 3797616.79740367, 3879073.65260833, 3894117.351881, 3954701.50016233
0.90, 2933954.089817, 3963181.520294, 3000821.58161333, 3145855.37286433, 3235295.09230533, 3210664.547712, 3405772.85170567, 3585157.5476, 3695914.812715, 3795943.31838733

"Distribution: Zipf=0.99"
"Load Factor / Hit Rate", hit 10%, hit 100%, hit 20%, hit 30%, hit 40%, hit 50%, hit 60%, hit 70%, hit 80%, hit 90%
0.10, 6571934.920983, 6503121.261846, 6470532.49786267, 6236211.11730933, 6275907.455773, 6050439.73387667, 6035649.42634967, 6032386.650704, 6214523.56383667, 5814315.11707033
0.20, 6275865.08045, 6420932.11466333, 6094574.42401667, 5870139.528362, 5880316.34622267, 5485200.28002433, 5839188.59255667, 6006231.83281967, 5979532.78309767, 6113825.87278533
0.30, 5866737.27344367, 6153308.92313267, 5733312.21834067, 5630448.90702933, 5671639.58274167, 5813716.77562033, 5449886.81523467, 5698177.228388, 5935401.72476967, 6079335.30761233
0.40, 5504794.492378, 5992469.99696033, 5483215.755518, 5288237.158851, 5356792.89175333, 5483221.88010667, 5493048.18021733, 5556831.98891667, 5693683.49574067, 5749362.28517033
0.50, 5298115.07576333, 5992066.672401, 5265001.85654, 5254564.492094, 5290671.86762367, 5331934.653251, 5333828.13828233, 5459168.60496133, 5682204.45734667, 5674595.50655233
0.60, 5149123.00351433, 5591249.60478667, 5157756.70818633, 5162200.28791267, 5148079.09311733, 5117034.64188933, 4946505.13309467, 5309812.796711, 5388876.93410533, 5543508.39885133
0.70, 4968125.99545933, 5531325.57092067, 5023965.76614967, 5054478.98736933, 5004384.51498267, 4954871.91338433, 5105425.50911433, 5070101.452178, 5254417.58136333, 5234307.11897233
0.80, 4652325.89972933, 5288237.158851, 4687050.98399767, 4712996.96170733, 4704817.84177367, 4766357.12828033, 4822430.711168, 4793801.57153067, 4944321.81967067, 5125972.225249
0.90, 3728466.62399067, 5027782.547295, 3795904.96534867, 3920307.38447033, 3970025.97943433, 4046825.88084467, 4258523.96021367, 4392154.22793967, 4534782.62454633, 4757530.55434567
