
"RTB Lookup rate (ops/sec) - results/sc_acc_fixed4.txt"

"Distribution: Zipf=0.99"
"Load Factor / Hit Rate", hit 90%
0.10, 68211824.359881
0.20, 63375513.533519
0.30, 55016021.267131
0.40, 43039025.973043
0.50, 37455019.228617
0.60, 30279052.218355
0.70, 23306755.135225
0.80, 16739367.395766
0.90, 7531097.401507
