
"RTB Lookup rate (ops/sec) - x86_64_stl.txt"

"Distribution: Uniform"
"Load Factor / Hit Rate", hit 10%, hit 100%, hit 20%, hit 30%, hit 40%, hit 50%, hit 60%, hit 70%, hit 80%, hit 90%
0.10, 24704131.432415, 17356000.281036, 22903987.2931157, 21213604.2345533, 19433387.358791, 18126020.7927373, 17844839.7528867, 17633586.8251263, 17498560.4452253, 17317487.9855397
0.20, 19596199.3412007, 16301851.487904, 18404666.3502103, 17620580.232867, 16737718.2556717, 16321191.434294, 16178837.4940223, 16080408.361995, 16119736.3978357, 16147211.9343883
0.30, 16613945.5671583, 15548189.5425997, 15351430.9467043, 14854086.1772, 14773417.1103337, 14791860.6500707, 14884977.9643557, 15118635.629825, 15029229.101984, 15224289.846133
0.40, 15164781.8628607, 15039528.2938817, 14064323.8760987, 13682333.914461, 13936741.7116583, 14264685.493679, 14436681.750334, 14607615.6535257, 14816407.0085257, 14767879.6669043
0.50, 12647421.5871753, 14831539.5853597, 11647344.1679513, 11362725.696195, 11733490.046106, 12713384.214403, 13074242.5880903, 13600337.9662647, 13878559.0112053, 14448726.1006313
0.60, 11572460.041637, 14238516.9813667, 11015631.2767797, 10847999.492577, 11204722.1149243, 11587486.3951303, 12316856.3642, 12716363.139603, 13140110.1836243, 13641894.749228
0.70, 10417214.9708717, 13119150.506322, 10033289.1657063, 9906839.239603, 10090928.7158413, 10553066.3687247, 11304575.691511, 11793601.6082047, 12360115.4295013, 12499937.9426617
0.80, 8914219.998484, 12587549.2293023, 8607150.451163, 8528498.60442433, 8617656.20329867, 9035065.84863733, 9762421.623488, 10526815.789438, 11019044.9145187, 11054457.2102383
0.90, 8118372.32296067, 11978905.7824707, 7888359.694893, 7740300.997124, 7748445.16586, 8128697.78955167, 8798457.902234, 9450022.85530733, 10320032.121758, 11281048.087485

"Distribution: Zipf=0.99"
"Load Factor / Hit Rate", hit 10%, hit 100%, hit 20%, hit 30%, hit 40%, hit 50%, hit 60%, hit 70%, hit 80%, hit 90%
0.10, 31928045.565727, 22242525.909069, 28308285.5711733, 25937169.7886393, 23668373.4933123, 22813063.220062, 21958932.9420037, 21926268.8087857, 21958524.65727, 22064628.1096157
0.20, 24681699.1323157, 20481515.449097, 22561456.7246033, 21386527.873164, 20223360.8832653, 19725650.876289, 19665222.1350583, 19754119.397359, 19855939.0526477, 20138279.1776053
0.30, 20899783.0836147, 19189094.6726847, 18979868.367868, 18214990.7195977, 17920823.9978317, 17772529.6314737, 18006292.9931343, 18203925.589057, 18355406.7459833, 18653061.0266553
0.40, 18968452.320238, 18039270.7751783, 17241634.7276897, 16325596.6354247, 16624540.6966873, 16974050.3899117, 17303364.0794263, 17565464.413715, 17925015.693401, 17796634.0923033
0.50, 15475120.2781147, 18064513.1347757, 14326198.4118897, 13751867.2579137, 13924603.1995433, 15492474.4185813, 15953302.94307, 16287782.2656237, 16750763.1095243, 17430150.155472
0.60, 14394019.1906107, 16579941.3616873, 13787445.5320457, 13359148.902623, 13390834.1005517, 14069367.47816, 14559707.836996, 14885407.1451207, 15439686.814928, 16268929.1073603
0.70, 12983927.168561, 15545213.41822, 12077655.8678547, 12043832.098144, 12109559.4092033, 12607767.4013903, 13340924.0679173, 13888305.7184263, 13759716.1430793, 14933067.5309323
0.80, 11070089.2372967, 14981449.6802613, 10548139.461035, 10379972.1639827, 10425396.0468827, 10866656.6934007, 11463359.914399, 12129144.795236, 12885218.5318, 13859425.6062573
0.90, 9751021.93587567, 14323690.280227, 9442019.72645033, 9308763.34090433, 9456289.17684133, 10121783.4631207, 10877985.4976577, 11574389.7574213, 12408738.944468, 13374454.0673023
