
"RTB Lookup rate (ops/sec) - cyg_stl.txt"

"Distribution: Uniform"
"Load Factor / Hit Rate %", 82.00, 90.00, 98.00
0.20, 12525957.0341013, 12856864.4297267, 12840351.564261
0.60, 9020687.70886567, 9152898.81819733, 9321422.066384
0.90, 7109320.217822, 7609043.10466533, 7968366.291225

"Distribution: Zipf=.99"
"Load Factor / Hit Rate %", 82.00, 90.00, 98.00
0.20, 14408834.787956, 15346144.2961323, 15349506.042149
0.60, 10529990.494587, 10755786.0218643, 11495602.3600553
0.90, 8306078.87198367, 9186301.50733467, 9794221.80096933
