
"RTB Lookup rate (ops/sec) - x86_64_sft.txt"

"Distribution: Uniform"
"Load Factor / Hit Rate", hit 10%, hit 100%, hit 20%, hit 30%, hit 40%, hit 50%, hit 60%, hit 70%, hit 80%, hit 90%
0.10, 16917040.2687673, 18722786.77578, 16477404.074769, 16087832.55996, 15450184.6579337, 15584784.157186, 16216865.0603767, 17012009.673246, 17344825.4111067, 18129426.6534147
0.20, 16626773.8158937, 18246718.7631323, 15955875.9120877, 15540537.3587007, 15391327.3151043, 15670505.9932483, 16145036.7433767, 16621008.0941453, 17172962.6937457, 17684978.367077
0.30, 15415969.0445017, 17179644.0109563, 14857834.0340327, 14363823.6510483, 14551998.6363693, 15049529.6103203, 15542596.462895, 16142734.1930427, 16598287.5225687, 16571447.2089343
0.40, 13387317.644381, 17115075.872869, 12571652.2091437, 12172189.9150477, 12302841.415259, 13179674.9719903, 14084105.0269543, 14755911.8858193, 15370414.1431777, 15938824.0029323
0.50, 11303246.3982613, 15724093.3789257, 10462360.8036517, 10413099.283365, 10382077.006986, 11013761.4159497, 12285343.4854037, 13623657.134364, 14498038.53805, 15065459.0283213
0.60, 9549344.895116, 14648397.700359, 9244225.79455, 9149877.462832, 9262477.33660333, 9645083.328407, 10336751.3057397, 11552092.2307913, 12673055.429925, 14131299.825861
0.70, 8731314.337022, 12857447.4855577, 8725469.26472067, 8726988.223437, 8760265.13990667, 8828412.595968, 9192641.596413, 9647886.81233333, 10227844.7546083, 11371562.150059
0.80, 8457379.664972, 9915154.47140267, 8507699.23031667, 8555922.374876, 8571019.25208367, 8624580.574153, 8781781.895819, 8785520.847618, 9010299.40851733, 9306260.91647167
0.90, 7191403.06134467, 9040802.85525133, 7553239.13562633, 7695082.671389, 7862515.713032, 8000207.782832, 8189118.51508467, 8387242.11704067, 8572251.806243, 8790311.678169

"Distribution: Zipf=0.99"
"Load Factor / Hit Rate", hit 10%, hit 100%, hit 20%, hit 30%, hit 40%, hit 50%, hit 60%, hit 70%, hit 80%, hit 90%
0.10, 23240430.6088823, 24587325.5828287, 22115643.2649543, 21098815.4714553, 19975328.8672983, 19663652.1419177, 20608289.4868093, 21418780.544216, 22298840.44287, 23210932.2453283
0.20, 21613495.7829723, 23755499.5669027, 20091689.649053, 19615314.1153133, 19082767.2156053, 19293003.8291363, 19939127.8658627, 20711435.802806, 21580363.466485, 22531734.873651
0.30, 19672240.909254, 22305946.7855237, 18534774.139852, 17671773.8208703, 17546746.6750737, 18166709.300272, 18830311.608746, 19638636.3106003, 20244298.1089177, 21103832.946545
0.40, 17614126.0651727, 21542868.5559223, 16448605.214066, 15891499.081165, 15818241.446625, 16547151.6353087, 17371405.9147703, 18363482.249178, 19274982.1375477, 20220953.266707
0.50, 15159743.1285223, 19967664.856359, 14585805.6687587, 13957171.764892, 13900491.050142, 14472023.7682513, 15347412.993973, 16668016.592688, 17568746.1378303, 18712368.3424903
0.60, 13366255.7770747, 18419473.2237907, 13107118.63787, 12934155.31795, 12887233.755662, 13312906.856087, 13716968.171365, 14579852.8028187, 15933812.5154757, 17189691.8170643
0.70, 12597383.0599433, 16621820.4338087, 12467515.6808873, 12412729.7291873, 12475713.9844163, 12515190.513921, 12742956.3332327, 13182425.4025277, 13920093.425781, 15152984.9880957
0.80, 11693815.213452, 13496810.444943, 11650252.405179, 11676123.417135, 11696025.8837887, 11795399.305333, 11923540.9992727, 12082644.665918, 12314207.852211, 12751027.9855933
0.90, 9632085.01244567, 12485740.0216823, 9800636.49896233, 10019280.6220907, 10193608.808035, 10462973.7785407, 10749156.4942573, 11060125.3326563, 11428736.136799, 11870632.371503
