1 1889
2 951
3 637
4 479
5 384
6 320
7 275
8 241
9 215
10 193
11 176
12 161
13 149
14 139
15 129
16 121
17 114
18 108
19 102
20 97
21 93
22 89
23 85
24 81
25 78
26 75
27 72
28 70
29 67
30 65
31 63
32 61
33 59
34 58
35 56
36 54
37 53
38 52
39 50
40 49
41 48
42 47
43 46
44 45
45 44
46 43
47 42
48 41
49 40
50 39
51 39
52 38
53 37
54 36
55 36
56 35
57 35
58 34
59 33
60 33
61 32
62 32
63 31
64 31
65 30
66 30
67 29
68 29
69 29
70 28
71 28
72 27
73 27
74 27
75 26
76 26
77 26
78 25
79 25
80 25
81 24
82 24
83 24
84 24
85 23
86 23
87 23
88 22
89 22
90 22
91 22
92 21
93 21
94 21
95 21
96 21
97 20
98 20
99 20
100 20
